City,Electric_Vehicle_Count,Count_Normalized,Cluster
Aberdeen,203,0.005737658353689712,0
Aberdeen Proving Ground,1,0.0,0
Acme,11,0.0002840424927569164,0
Addy,5,0.00011361699710276657,0
Airway Heights,44,0.0012213827188547407,0
Alameda,2,2.8404249275691642e-05,0
Albion,1,0.0,0
Aldie,1,0.0,0
Alexandria,7,0.00017042549565414987,0
Algona,45,0.0012497869681304323,0
Allyn,86,0.0024143611884337893,0
Almira,2,2.8404249275691642e-05,0
Amanda Park,2,2.8404249275691642e-05,0
Amboy,23,0.0006248934840652161,0
Anacortes,836,0.023717548145202518,0
Anderson Island,49,0.001363403965233199,0
Andrews Air Force Base,1,0.0,0
Ann Arbor,2,2.8404249275691642e-05,0
Annapolis,2,2.8404249275691642e-05,0
Apache Junction,1,0.0,0
Appleton,1,0.0,0
Arcadia,1,0.0,0
Ariel,21,0.0005680849855138328,0
Arlington,711,0.020167016985741065,0
Arnold,1,0.0,0
Artondale,2,2.8404249275691642e-05,0
Ashburn,1,0.0,0
Ashford,22,0.0005964892347895245,0
Asotin,13,0.0003408509913082997,0
Atherton,1,0.0,0
Atlanta,1,0.0,0
Auburn,2517,0.07146509117764017,3
Augusta,1,0.0,0
Aurora,1,0.0,0
Austin,1,0.0,0
Bainbridge Island,2030,0.05763222178037834,3
Baring,6,0.00014202124637845823,0
Battle Ground,738,0.02093393171618474,0
Bay Center,1,0.0,0
Beale Afb,1,0.0,0
Beaux Arts,54,0.0015054252116116571,0
Beaver,1,0.0,0
Bedford,1,0.0,0
Belfair,186,0.005254786116002954,0
Belle Chasse,1,0.0,0
Bellevue,10869,0.30869738112821676,2
Bellingham,3629,0.10305061637220927,3
Benicia,1,0.0,0
Benton City,86,0.0024143611884337893,0
Berkeley,2,2.8404249275691642e-05,0
Bethesda,2,2.8404249275691642e-05,0
Beverly,1,0.0,0
Bickleton,1,0.0,0
Bingen,11,0.0002840424927569164,0
Black Diamond,456,0.012923933420439697,0
Blaine,507,0.014372550133499971,0
Bloomfield,1,0.0,0
Boca Raton,1,0.0,0
Boise,2,2.8404249275691642e-05,0
Bonney Lake,1295,0.03675509856274498,0
Boston,2,2.8404249275691642e-05,0
Bothell,7176,0.20380048855308752,2
Bow,123,0.00346531841163438,0
Braselton,1,0.0,0
Bremerton,1716,0.04871328750781116,3
Brentwood,1,0.0,0
Brewer,1,0.0,0
Brewster,19,0.0005112764869624495,0
Bridgeport,3,5.680849855138329e-05,0
Bridgeport Bar,6,0.00014202124637845823,0
Brier,289,0.008180423791399194,0
Brinnon,28,0.0007669147304436743,0
Brooklyn,1,0.0,0
Brush Prairie,369,0.010452763733454525,0
Buckley,311,0.00880531727546441,0
Bucoda,4,8.521274782707493e-05,0
Buena,1,0.0,0
Buena Park,1,0.0,0
Bunnlevel,1,0.0,0
Burbank,18,0.00048287223768675794,0
Burien,1148,0.03257967391921831,0
Burke,2,2.8404249275691642e-05,0
Burlington,274,0.007754360052263818,0
Bz Corner,8,0.0001988297449298415,0
Calera,1,0.0,0
